source_id,source_label,target_id,target_label,weight
6,10215,34,11652,0.000153765257
6,10215,35,11689,0.0005098339752
6,10215,36,11901,0.0001534481125
6,10215,37,11902,0.0002953689836
6,10215,38,11975,0.0001534481125
6,10215,39,12026,0.0001534481125
6,10215,40,12031,0.0001621834381
6,10215,41,12072,0.0001534481125
6,10215,42,12128,0.0001961070811
6,10215,43,12131,0.0001534481125
6,10215,44,12157,0.0001534481125
6,10215,45,12260,0.0001534481125
6,10215,46,12262,0.0003961564507
6,10215,47,12380,0.005139039829
6,10215,48,12535,0.003318292089
6,10215,49,12611,0.0001693642262
6,10215,50,12676,0.0007804484922
6,10215,51,12761,0.0002759459312
6,10215,52,12805,0.0001534481125
6,10215,53,12814,0.001054118155
6,10215,54,13018,0.0001534481125
6,10215,55,13062,0.0001534481125
6,10215,56,13083,0.0001534481125
6,10215,57,13398,0.0001534481125
6,10215,58,13514,0.3007877469
6,10215,59,13559,0.0003252250317
6,10215,60,13567,0.0001534481125
6,10215,61,13623,0.0001534481125
6,10215,62,13629,0.0001534481125
6,10215,63,13650,0.0001534481125
6,10215,64,13674,0.0001534481125
6,10215,65,13702,0.0001534481125
6,10215,66,13734,0.0002020829415
6,10215,67,13851,0.0001534481125
6,10215,68,13898,0.0007227171445
6,10215,69,13904,0.0001534481125
6,10215,70,13935,0.0001534481125
6,10215,71,14064,0.0001534481125
6,10215,72,14175,0.0001534481125
6,10215,73,14335,0.0001534481125
6,10215,74,14351,0.001040268573
6,10215,75,14381,0.0001534481125
6,10215,76,14413,0.0001534481125
7,10237,0,10020,0.0001284426835
7,10237,1,10028,0.0001284426835
7,10237,2,10100,0.0001284426835
7,10237,3,10126,0.0001586615108
7,10237,4,10181,0.0001284426835
7,10237,5,10201,0.0001284426835
7,10237,6,10215,0.0001284426835
7,10237,8,10320,0.0001284426835
7,10237,9,10456,0.0002722759382
7,10237,10,10462,0.0001853045687
7,10237,11,10637,0.0001284426835
7,10237,12,10639,0.0001284426835
7,10237,13,10664,0.0002251484984
7,10237,14,10682,0.0001284426835
7,10237,15,10711,0.0001284426835
7,10237,16,10764,0.0001284426835
7,10237,17,10820,0.0001284426835
7,10237,18,10862,0.0003613896261
7,10237,19,10906,0.0002818797657
7,10237,20,10951,0.0001284426835
7,10237,21,11010,0.0001284426835
7,10237,22,11130,0.0001284426835
7,10237,23,11269,0.0001284426835
7,10237,24,11273,0.0001284426835
7,10237,25,11276,0.0001284426835
7,10237,26,11303,0.0001356145076
7,10237,27,11307,0.0001284426835
7,10237,28,11424,0.0001284426835
7,10237,29,11512,0.0001284426835
7,10237,30,11550,0.0001284426835
7,10237,31,11574,0.0001287017658
