pub_year,10101,10203,10260,10270,10286,10430,10538,10679,10734,11370,11614,11644,11693,11800,11813,11937,12016,12034,12338,12395,12408,12479,12519,12601,12799,12863,12943,13016,13034,13038,13081,13166,13194,13270,13274,13373,13386,13482,13565,13602,13608,13647,13673,13676,13832,13867,13873,13874,13913,13932,13964,13976,13999,14025,14029,14042,14071,14103,14155,14174,14215,14216,14307,14330,14345,14347,14387,14403,14409,14414,14430,14431,14435,14484,14496,14498,14516,14519
2003,1808,595,4006,149,587,2819,2958,8497,1111,813,360,358,678,601,1338,697,2494,588,390,869,458,121,661,1674,671,2515,17,313,607,15,55,435,494,166,126,80,384,173,3004,701,222,13,148,6,5410,666,98,527,170,87,143,483,1528,3781,87,2440,213,36,89,17,405,267,256,1226,440,10,354,593,2914,50,10064,278,59,1247,13,1755,119,72
2004,1845,722,3698,194,694,2735,3102,9698,1458,872,426,596,758,782,1350,812,3066,739,411,1037,422,151,747,1840,796,2773,14,309,626,11,56,579,586,171,119,139,372,160,3690,806,270,15,163,17,6578,781,149,562,260,90,161,524,1687,4318,78,2839,235,31,118,16,455,329,353,1349,484,30,398,603,3649,48,11119,299,88,1592,17,2144,177,58
2005,2379,903,4310,216,802,3299,3730,11326,1681,1002,536,729,915,1081,1531,972,3369,851,484,1208,541,182,882,2076,918,3246,19,324,680,24,77,655,691,208,151,173,515,198,4069,1012,231,24,178,13,8032,902,115,651,344,107,131,595,1992,5081,91,3492,286,43,138,28,526,464,365,1329,500,18,493,695,3945,63,12728,314,114,1851,38,2344,214,69
2006,2707,1038,4534,243,929,3429,4008,13123,1874,1293,694,945,989,1374,1545,1071,3895,1054,525,1402,646,267,961,2520,1122,3756,18,419,688,33,75,837,914,301,215,292,757,201,4425,1213,261,22,201,13,9438,1025,184,683,402,98,168,673,2276,5510,74,4279,395,48,155,30,551,639,376,1413,568,35,566,764,4259,62,14334,339,192,2153,45,2485,233,93
2007,2777,1346,4729,282,1044,3487,4379,13700,1922,1403,775,1090,1050,1495,1697,1293,4410,1152,589,1456,833,333,993,2792,1264,4307,24,646,717,24,72,1104,977,379,294,327,1200,228,5223,1462,296,27,249,19,10706,1186,172,742,483,130,165,726,2379,6323,87,4770,392,77,165,45,517,770,414,1569,673,30,692,963,5155,58,16735,342,227,2361,37,2775,311,86
2008,3213,1520,4868,299,1085,3631,4896,14700,2171,1680,943,1342,1095,1923,1867,1473,4822,1270,648,1652,1120,382,1148,2540,1326,4945,24,934,659,27,66,1188,1289,478,363,563,1714,264,5973,2173,345,41,295,23,11390,1396,223,812,839,149,185,827,2338,6771,106,5093,601,50,171,48,521,1308,472,1518,794,30,831,932,5757,85,17684,342,322,2585,47,2965,555,119
2009,3899,1860,4905,377,1122,3705,5147,14563,2441,1928,1155,1426,1091,1996,2244,1751,5334,1461,818,2081,1829,466,1239,2651,1595,5612,34,1555,700,43,85,1469,1485,515,452,853,2950,336,6519,4173,381,34,552,26,12260,1579,275,809,1201,90,254,873,2510,7327,97,5576,793,76,215,38,593,1640,447,2012,1196,46,1021,1104,6244,95,19158,399,464,2963,81,3330,757,161
2010,5462,2096,5466,490,1226,3952,5462,14903,2588,2488,1646,1643,1253,2200,2403,1846,5521,1539,1085,2536,2301,562,1379,2649,1949,6137,31,1913,702,67,98,1502,1747,666,536,1008,3353,409,7573,5670,421,48,668,27,12248,1828,429,909,1721,123,251,907,2326,8073,94,5645,928,93,224,47,622,2392,460,1924,1310,44,1219,1148,7097,123,20822,433,580,2876,79,4159,904,204
2011,7068,2335,5460,683,1199,3948,5320,12843,2749,2833,2113,1815,1166,2365,2621,2037,5493,1679,1358,3038,2716,569,1493,2240,2292,6295,48,2261,661,59,99,1703,1968,673,643,1094,4294,467,8477,7703,444,72,763,49,11608,2252,416,945,2096,117,291,961,2247,8236,115,6119,1032,125,257,59,707,2966,503,1958,1634,56,1342,1291,8018,144,21057,507,758,3319,111,4570,1067,241
2012,8594,2474,6223,1017,1235,4385,5472,11895,3013,3588,2803,2176,1184,2476,2955,2330,5512,1746,1389,3414,3226,655,1697,1969,2732,6124,38,2711,651,108,82,2053,2433,875,756,1411,5274,542,8858,9250,566,113,901,33,9752,2539,480,796,2907,95,303,870,2155,6637,117,5166,1521,172,202,64,575,3420,462,2283,1821,75,1617,1489,8396,162,15658,466,1098,3620,143,4650,1660,257
