pub_year,10020,10028,10100,10126,10181,10201,10215,10237,10320,10456,10462,10637,10639,10664,10682,10711,10764,10820,10862,10906,10951,11010,11130,11269,11273,11276,11303,11307,11424,11512,11550,11574,11598,11612,11652,11689,11901,11902,11975,12026,12031,12072,12128,12131,12157,12260,12262,12380,12535,12611,12676,12761,12805,12814,13018,13062,13083,13398,13514,13559,13567,13623,13629,13650,13674,13702,13734,13851,13898,13904,13935,14064,14175,14335,14351,14381,14413
1985,519,149,111,968,1046,409,1057,113,1232,152,29,59,371,0,110,507,29,242,151,631,76,783,613,737,7,497,288,5,74,69,14,176,40,24,27,16,593,483,204,17,438,145,63,22,3210,11,55,34,40,123,5,16,280,54,722,93,236,34,12,26,1,691,164,611,61,45,532,116,7,8,259,13,16,213,198,43,2
1986,629,214,120,1119,1344,461,1359,88,1431,256,45,72,389,2,154,429,39,277,162,859,83,957,632,853,6,459,357,7,64,81,35,187,43,22,37,12,681,532,241,23,533,188,64,11,3294,14,64,51,65,148,11,17,328,47,719,119,250,57,6,35,2,753,148,663,54,49,640,166,20,9,273,9,19,197,224,31,2
1987,686,182,163,1177,1323,617,1538,147,1777,318,43,68,455,3,162,481,18,337,197,1196,104,1092,690,891,4,449,424,10,91,103,27,201,38,30,37,16,643,609,305,24,620,227,61,20,3479,15,88,42,58,227,27,27,419,61,795,125,242,76,14,31,0,901,160,729,70,68,740,132,24,14,240,15,15,238,182,36,10
1988,714,236,168,1452,1516,646,1726,128,2275,374,43,70,614,4,156,503,29,475,233,1272,113,1279,752,1019,6,494,475,11,105,78,31,215,40,32,44,9,685,657,306,32,669,286,62,12,3469,14,88,36,105,254,38,17,405,61,724,125,288,64,8,41,4,890,146,754,56,76,786,162,27,8,258,18,13,207,202,28,4
1989,735,292,197,1468,1620,826,1870,146,2789,348,43,83,666,5,192,576,41,518,212,1339,97,1263,797,1110,12,407,422,18,107,103,28,209,50,43,40,22,700,596,305,29,777,363,32,18,3467,14,97,40,98,362,63,30,431,62,754,130,282,54,11,36,1,913,158,821,52,79,835,179,20,16,253,10,11,227,210,52,4
1990,864,313,233,1587,1916,911,2134,187,3299,471,72,85,594,6,190,685,42,687,284,1438,133,1402,885,1123,8,497,540,18,151,109,38,233,60,36,60,9,697,769,408,25,858,396,51,24,3756,26,98,54,100,364,85,24,480,67,915,138,332,70,17,38,2,1049,175,869,62,101,939,185,27,16,269,16,15,286,258,40,4
1991,938,343,298,1636,1919,1023,2173,170,4124,482,92,88,655,2,213,762,32,937,256,1516,117,1629,900,1335,12,463,529,35,106,134,56,202,70,31,59,23,790,663,400,25,846,454,37,23,3577,29,119,38,139,438,135,28,480,63,960,128,340,52,20,54,3,1066,142,839,49,91,1034,186,18,22,252,11,3,248,225,52,7
1992,1116,469,326,1788,2172,1029,2340,200,4381,547,106,97,827,8,214,743,35,1139,389,1575,141,1746,1045,1434,13,468,614,33,136,141,53,224,69,37,78,34,831,680,504,20,985,485,41,21,3726,38,136,61,158,372,116,37,494,76,902,150,332,73,14,38,3,1183,184,925,71,76,1056,187,14,20,281,21,23,283,219,49,2
1993,1183,421,411,1838,2239,1081,2573,265,4402,655,99,115,754,5,274,751,44,1237,398,1545,168,1980,1073,1503,12,473,600,25,179,181,62,247,93,56,80,22,812,659,496,31,1011,535,32,18,4227,28,128,68,177,370,99,36,517,85,1030,151,348,95,18,65,0,1199,189,976,85,61,1149,213,27,26,233,24,19,310,204,40,5
1994,1089,533,470,1903,2616,1202,2643,272,4953,700,181,106,813,6,252,709,55,1416,360,1531,183,1978,1133,1664,11,502,629,34,204,160,92,261,108,56,102,14,870,688,638,25,1171,588,39,22,3846,24,149,75,190,302,143,47,590,78,994,166,386,84,29,68,1,1413,204,972,63,80,1188,228,24,14,228,14,23,314,209,51,5
